time,tx,ty,tz,rx,ry,rz,rw
1539699416,0.83876645565,1.69139862061,0.107472606003,0.00515444716439,-0.00287759187631,0.92363089323,0.383237838745
1539699417,0.716617763042,1.80404496193,0.107583083212,0.00329929147847,-0.00240898667835,0.97957020998,0.201060682535
1539699418,0.563881397247,1.86480104923,0.107093326747,0.00064416375244,0.00133933406323,0.999574542046,0.0291312281042
1539699419,0.399592369795,1.86816596985,0.106988690794,0.00505165103823,0.00220675091259,0.99577486515,-0.0916628912091
1539699420,0.235674455762,1.8359336853,0.1075604707,0.00379845523275,0.00109443999827,0.977197051048,-0.212297856808
1539699421,0.0874682068825,1.76019239426,0.107842996716,0.00452657556161,0.00103625969496,0.920511007309,-0.390689074993
1539699422,-0.0226632505655,1.63480365276,0.107665553689,0.00457270257175,0.00151397206355,0.827505409718,-0.561437010765
1539699423,-0.0793776214123,1.47801363468,0.108346574008,0.00636638468131,0.00260073877871,0.739111602306,-0.67354798317
1539699424,-0.0917918160558,1.31316363811,0.109079226851,0.00509143667296,0.0036305419635,0.674958705902,-0.737829089165
1539699425,-0.0777906775475,1.15878772736,0.109300032258,0.0010642693378,0.00222296128049,0.537294209003,-0.843391299248
1539699426,-0.0119498353451,1.02512800694,0.109247125685,0.00113813171629,0.00503467861563,0.285493552685,-0.958366692066
1539699427,0.113846555352,0.947816431522,0.109175808728,-0.00139443576336,0.00154949468561,0.0308281872422,-0.999522507191
1539699429,0.430218696594,1.00263214111,0.10828229785,0.00214070081711,0.00299522629939,-0.159352213144,-0.987214922905
1539699430,0.587287545204,1.05326020718,0.108306095004,0.00187633757014,0.00547961564735,-0.119139760733,-0.992860555649
1539699431,0.749512672424,1.09057724476,0.108664415777,0.00273830443621,0.00365248997696,-0.0751609355211,-0.997160971165
1539699432,0.914763987064,1.11268901825,0.109231643379,0.000791084370576,0.0033323043026,-0.0239105634391,-0.999708294868
1539699433,1.08075237274,1.12004601955,0.108411118388,0.000880554609466,-0.000316829769872,0.0420876964927,-0.999113440514
1539699434,1.23473095894,1.10315561295,0.109272636473,0.0056585134007,0.00107258127537,0.247744888067,-0.968808174133
1539699435,1.36384403706,1.02715992928,0.108451128006,0.012225064449,-0.000936474127229,0.458636194468,-0.888539552689
1539699436,1.44556987286,0.911322593689,0.108801141381,0.00497414078563,0.00332736060955,0.680070698261,-0.733122169971
1539699437,1.44393360615,0.756214261055,0.109246082604,-0.00158468855079,-0.00263405544683,0.805710375309,-0.592301845551
1539699438,1.39369857311,0.598176956177,0.107936941087,0.00106594141107,-0.00178408273496,0.889016330242,-0.457870811224
1539699439,1.31019234657,0.483949363232,0.10655502975,0.00332248769701,0.000889481510967,0.980373203754,-0.197120472789
1539699440,1.22951054573,0.427201867104,0.109636709094,0.00520244240761,0.00716793257743,0.960546195507,0.277979463339
1539699441,1.14524400234,0.463682502508,0.111031763256,-0.000283698027488,-0.0066184992902,0.730331480503,0.683060765266
1539699442,1.13463592529,0.570192635059,0.111073173583,-0.00812943093479,-0.0228513032198,0.444440931082,0.895479798317
1539699443,1.24199700356,0.684860706329,0.109040804207,-0.000621042971034,-0.00331952795386,0.400702476501,0.916202008724
1539699444,1.34601974487,0.796955049038,0.107695057988,0.00613634707406,-0.00455743912607,0.615541934967,0.788067042828
1539699445,1.37914931774,0.925647139549,0.108257576823,0.00217479490675,0.000742343661841,0.813746392727,0.581215620041
1539699446,1.32458770275,1.0593187809,0.10853369534,0.00432655634359,-0.00495604705065,0.941154897213,0.337911814451
1539699447,1.19148027897,1.15336620808,0.109413430095,0.00458663376048,-0.00150883151218,0.946057975292,0.323961675167
1539699448,1.06360018253,1.25611031055,0.10924333334,0.002632482443,-0.00369382021017,0.911632061005,0.410982340574
1539699449,0.958775281906,1.38290464878,0.108483113348,0.000394774600863,-0.00265270005912,0.883447647095,0.468522369862
1539699450,0.865810096264,1.52158069611,0.107390120625,0.000548697717022,-0.000972630921751,0.878079414368,0.47851356864
